word_count,char_count,avg_word_length,positive_count,negative_count
14,118,8.428571428571429,0,0
10,63,6.3,0,0
13,117,9.0,0,0
3,15,5.0,0,0
7,41,5.857142857142857,0,0
6,34,5.666666666666667,0,0
13,84,6.461538461538462,1,0
7,50,7.142857142857143,0,0
12,81,6.75,0,0
24,125,5.208333333333333,2,0
14,75,5.357142857142857,0,0
12,64,5.333333333333333,0,0
7,45,6.428571428571429,0,0
13,74,5.6923076923076925,2,0
29,137,4.724137931034483,0,0
18,89,4.944444444444445,0,0
24,133,5.541666666666667,1,0
12,62,5.166666666666667,0,0
11,60,5.454545454545454,0,0
22,88,4.0,0,0
26,134,5.153846153846154,0,0
12,77,6.416666666666667,0,0
2,17,8.5,0,0
28,138,4.928571428571429,0,0
19,115,6.052631578947368,0,0
7,46,6.571428571428571,0,0
25,132,5.28,0,0
9,49,5.444444444444445,0,0
13,78,6.0,0,0
25,132,5.28,0,0
14,76,5.428571428571429,0,0
12,67,5.583333333333333,1,0
27,138,5.111111111111111,0,0
18,113,6.277777777777778,0,0
19,129,6.7894736842105265,0,0
3,25,8.333333333333334,0,0
10,47,4.7,0,0
8,35,4.375,0,0
15,86,5.733333333333333,0,0
12,58,4.833333333333333,0,1
14,97,6.928571428571429,0,0
10,68,6.8,0,0
6,19,3.1666666666666665,0,0
12,60,5.0,1,0
12,67,5.583333333333333,1,0
4,28,7.0,0,0
15,69,4.6,0,0
6,27,4.5,0,0
19,89,4.684210526315789,1,0
5,25,5.0,0,0
9,59,6.555555555555555,0,0
26,131,5.038461538461538,0,0
209,1135,5.430622009569378,0,0
2,9,4.5,0,0
6,42,7.0,0,0
227,1193,5.255506607929515,6,0
27,127,4.703703703703703,0,0
2,9,4.5,0,0
7,48,6.857142857142857,0,0
13,73,5.615384615384615,1,0
11,49,4.454545454545454,0,1
12,67,5.583333333333333,0,0
9,56,6.222222222222222,0,0
3,11,3.6666666666666665,0,0
4,18,4.5,0,0
19,123,6.473684210526316,0,0
25,131,5.24,0,0
21,93,4.428571428571429,0,0
5,34,6.8,0,0
15,74,4.933333333333334,0,0
25,133,5.32,0,0
6,59,9.833333333333334,0,0
17,111,6.529411764705882,0,0
7,40,5.714285714285714,1,0
15,91,6.066666666666666,0,0
9,62,6.888888888888889,0,0
28,135,4.821428571428571,0,1
18,102,5.666666666666667,0,0
5,35,7.0,1,0
263,1515,5.760456273764259,2,0
11,65,5.909090909090909,0,0
11,63,5.7272727272727275,0,0
24,126,5.25,0,0
22,117,5.318181818181818,0,0
